Match,Event,T1,T1p,T1t,T2,T2p,T2t
1,Dubai,SOUTH AFRICA,36,3:29,PORTUGAL,0,1:53
2,Dubai,CANADA,19,3:17,WALES,14,3:51
3,Dubai,FIJI,54,3:38,FRANCE,7,2:21
4,Dubai,ARGENTINA,17,3:58,BRAZIL,5,2:26
5,Dubai,SCOTLAND,21,3:58,SAMOA,14,3:47
6,Dubai,NEW ZEALAND,36,2:38,JAPAN,0,3:36
7,Dubai,ENGLAND,19,4:04,USA,10,2:10
8,Dubai,AUSTRALIA,29,4:07,KENYA,12,3:11
9,Dubai,SOUTH AFRICA,24,1:58,CANADA,12,4:40
10,Dubai,WALES,26,3:02,PORTUGAL,21,3:50
11,Dubai,FIJI,36,2:46,BRAZIL,5,2:34
12,Dubai,ARGENTINA,26,4:11,FRANCE,21,1:59
13,Dubai,SAMOA,38,4:00,JAPAN,12,3:46
14,Dubai,NEW ZEALAND,43,2:00,SCOTLAND,0,2:22
15,Dubai,ENGLAND,38,2:08,KENYA,0,4:15
16,Dubai,AUSTRALIA,26,3:11,USA,10,2:50
17,Dubai,PORTUGAL,26,3:28,CANADA,7,2:06
18,Dubai,SOUTH AFRICA,12,3:34,WALES,5,4:00
19,Dubai,FRANCE,24,3:29,BRAZIL,14,3:21
20,Dubai,FIJI,33,3:13,ARGENTINA,21,3:20
21,Dubai,SCOTLAND,47,3:48,JAPAN,0,2:16
22,Dubai,NEW ZEALAND,41,4:12,SAMOA,0,2:23
23,Dubai,USA,26,2:16,KENYA,17,3:13
24,Dubai,AUSTRALIA,12,2:48,ENGLAND,5,5:31
25,Dubai,FRANCE,42,2:24,CANADA,19,3:07
26,Dubai,USA,14,2:48,JAPAN,12,3:20
27,Dubai,PORTUGAL,19,5:22,BRAZIL,0,2:40
28,Dubai,SAMOA,40,3:25,KENYA,5,4:06
29,Dubai,FIJI,31,2:55,WALES,17,2:37
30,Dubai,AUSTRALIA,22,3:01,SCOTLAND,17,2:40
31,Dubai,SOUTH AFRICA,40,3:02,ARGENTINA,0,2:38
32,Dubai,NEW ZEALAND,29,3:39,ENGLAND,7,2:53
33,Dubai,CANADA,29,2:55,JAPAN,14,4:51
34,Dubai,KENYA,22,4:27,BRAZIL,7,1:14
35,Dubai,FRANCE,24,2:50,USA,15,4:46
36,Dubai,SAMOA,19,3:11,PORTUGAL,14,5:28
37,Dubai,SCOTLAND,31,5:11,WALES,7,2:58
38,Dubai,ARGENTINA,21,1:42,ENGLAND,19,2:34
39,Dubai,AUSTRALIA,29,3:28,FIJI,24,2:54
